indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
test001,test001.jpg,"Moscow Public Library Moscow, Idaho.","Murta Bell, Marian",1991-01-01,,libraries (buildings);,"Moscow, Idaho",46.733504,-116.998515,Photo Group 5 | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-02d,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test002,test002.jpg,"Students in front of Russell School (1884-1912). Moscow, Idaho.",,1866-01-01,Moscow's first public school,schools; teachers;,"Moscow, Idaho",46.734314,-116.997582,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-04a,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test003,test003.jpg,"Interior view of cigar store in Moscow Hotel. Moscow, Idaho.",,1895,,department stores;,"Moscow, Idaho",46.731797,-117.001659,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-12c,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test004,test004.jpg,"Scene of East City Park. Moscow, Idaho.","Mangold, James L., Great Falls",1918,,neighborhood parks;,"Moscow, Idaho",46.732756,-116.990715,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-14ag2,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test005,test005.jpg,"Mrs. McCallie, Annette and Horton McCallie in front of Dr. John Hugh McCallie home. Moscow, Idaho.","McCallie, Horton",1899-10-12,,buildings; families;,"Moscow, Idaho",46.732396,-116.988489,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-15L,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test006,test006.jpg,"Graduating class of 1899. Moscow High School. Moscow, Idaho.","Moody, Myra",1899,Individuals identified on back of mount,students;,"Moscow, Idaho",46.7324,-116.99652,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-001-25a,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test007,test007.jpg,Lionel Hampton at the University of Idaho,,1990,"6 x 4 inch photograph. Lionel Hampton with Lynn Skinner [at the University of Idaho, Moscow, ID]","Hampton, Lionel, 1908-2002;  Color photographs;","Moscow, Idaho",46.72882,-117.012812,Lionel Hampton Library Collection,LH.III.0855,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test008,test008.jpg,Presented to Lionel Hampton,University of Idaho,1989,"Certificate. 10 1/2'x9 1/2' Cloth certificate&lt;br&gt;To Lionel Hampton from the University of Idaho for his contribution to the Lionel Hampton-Chevron Jazz Festival. Moscow, ID, 1989","Plaques and Awards;Hampton, Lionel--Archives","Moscow, Idaho",46.72882,-117.012812,Lionel Hampton Library Collection,LH.VII.066,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test009,test009.jpg,Presented to Lionel Hampton,University of Idaho,1986-03-01,"Certificate. 8 1/2'x11' Certificate with gold foil Seal of the University of Idaho and gray and yellow ribbons&lt;br&gt;Title of Honorary Member of the University of Idaho Alumni Association presented to Lionel Hampton in recognition of outstanding service to the UI. Emma Atchley, President and Flip Kleffner, Secretary. Moscow,ID, Mar. 1st., 1986","Plaques and Awards;Hampton, Lionel--Archives","Moscow, Idaho",46.72882,-117.012812,Lionel Hampton Library Collection,LH.VII.143,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test010,test010.jpg,Presented to Lionel Hampton,University of Idaho,2000,"Plaque. 6'x5 1/8' Acrylic screen printed plaque on a 3'x5' wood base that reads 'Lionel Hampton Hall of Fame'&lt;br&gt;University of Idaho Lionel Hampton Jazz Festival.  [Moscow, ID], 2000","Plaques and Awards;Hampton, Lionel--Archives","Moscow, Idaho",46.72882,-117.012812,Lionel Hampton Library Collection,LH.VII.204,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test011,test011.jpg,Looking northeast across Moscow in 1968,,1968,Looking northeast across Moscow in 1968,bird's-eye view; towns,"Moscow, Idaho",46.732388,-117.000165,Ott Historical Photograph Collection,90-01-011,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test012,test012.jpg,Bird's eye view of Moscow circa 1897 [01],"Koch, Augustus, 1840-",1897,Drawn by Augustus Koch. Accuracy of his work is unbelievable.,bird's-eye views,"Moscow, Idaho",46.732388,-117.000165,Ott Historical Photograph Collection,90-02-002,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test013,test013.jpg,Davids' mens' department about 1905 at the southeast corner of Third and Main streets,,1905,"Left to right: Homer David, Charles Togsted, Nels Larson and F.A. David. Grocery department in far end. Stove pipes to wall.",interiors; department stores; retail,"Moscow, Idaho",46.732653,-117.001187,Ott Historical Photograph Collection,90-02-097,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test014,test014.jpg,Looking north at the east side of Main Street from Third Street,"Dimond, Charles",1945,Picture by Hodgins Drug Store (Charles Dimond) in the 1940s.,main streets; buildings,"Moscow, Idaho",46.732314,-117.001358,Ott Historical Photograph Collection,90-02-112,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test015,test015.jpg,"Hearse shown in Moscow's Centennial Parade, July 11, 1987",,1987-07-11,Pulled by two horses. Picture taken in front of Short's Funeral Chapel at 1225 East Sixth Street July 9 by Clifford M. Ott,funeral chapels,"Moscow, Idaho",46.73377,-117.000157,Ott Historical Photograph Collection,90-02-125c,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test016,test016.jpg,Moscow Fire Department at Bell tower,,1900,On the north side of Fourth Street east of the alley between Main and Washington streets. Note the hitch rail with one horse hitched to it beyond girl.,fire stations,"Moscow, Idaho",46.731786,-117.000409,Ott Historical Photograph Collection,90-02-131,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test017,test017.jpg,Crew of Taylor & Lauder brick plant in the late 1880s or 1890s,,1890,"Left to right: Wiley Lauder with arms folded, 7th, Tom Taylor with tie, vest and watch chain, 10th man standing.",people,"Moscow, Idaho",46.729733,-117.009459,Ott Historical Photograph Collection,90-02-151,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test018,test018.jpg,Looking northeast from the north end of Moore Street,,1945,"The east-west fence is now F Street west of Hayes Street. Some of the few homes at this time show on Orchard Avenue with the Moscow Mountains in the background. The foreground is mostly covered with new homes at this time, 1967. Picture taken in the 1940s.",farms,"Moscow, Idaho",46.739607,-116.990876,Ott Historical Photograph Collection,90-02-155,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
test019,test019.jpg,"Administration Building, University of idaho, Moscow","Curt Teich & Co., Inc.",1938,"Postcard is part of a postcard packet. Image is of the University of Idaho administration building in Moscow, Idaho.",universities (institutions); buildings; trees; campuses; picture postcards,"Moscow, Idaho",46.726422,-117.01005,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_01_01a_02,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NoC-US/1.0/
